 ,Gia tri do duoc,Loc lan 1(50%),Loc lan 2(40%),Loc lan 3(30%),Loc lan 4(20%),Loc lan 5(10%),Loc lan 6(5%),Gia tri trung binh
 ,0.004174948,0.004168034,0.004168034,0.004168034,0.004168034,0.004168034,0.004168034,
 ,0.004168034, , , , , , ,
,,,,,,,,
Trung binh,0.005951214,0.004215777,0.004215777,0.004215777,0.004215777,0.004215777,0.004215777,0.004215777
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004199028,0.004199028,0.004199028,0.004199028,0.004199028,0.004199028,0.004199028,
 ,0.004168034,0.004168034,0.004168034,0.004168034,0.004168034,0.004168034,0.004168034,
 ,0.004272938,0.004272938,0.004272938,0.004272938,0.004272938,0.004272938,0.004272938,
 ,0.004229069,0.004229069,0.004229069,0.004229069,0.004229069,0.004229069,0.004229069,
 ,0.004279137,0.004279137,0.004279137,0.004279137,0.004279137,0.004279137,0.004279137,
,,,,,,,,
Trung binh,0.004229641,0.004229641,0.004229641,0.004229641,0.004229641,0.004229641,0.004229641,0.004229641
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.00417304,0.00417304,0.00417304,0.00417304,0.00417304,0.00417304,0.00417304,
 ,0.004170895,0.004170895,0.004170895,0.004170895,0.004170895,0.004170895,0.004170895,
 ,0.004235983,0.004235983,0.004235983,0.004235983,0.004235983,0.004235983,0.004235983,
 ,0.004214048,0.004214048,0.004214048,0.004214048,0.004214048,0.004214048,0.004214048,
 ,0.004204035,0.004204035,0.004204035,0.004204035,0.004204035,0.004204035,0.004204035,
,,,,,,,,
Trung binh,0.0041996,0.0041996,0.0041996,0.0041996,0.0041996,0.0041996,0.0041996,0.0041996
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.003901958,0.003901958,0.003901958,0.003901958,0.003901958,0.003901958,0.004105806,
 ,0.004105806,0.004105806,0.004105806,0.004105806,0.004105806,0.004105806,0.00424695,
 ,0.00424695,0.00424695,0.00424695,0.00424695,0.00424695,0.00424695,0.004197121,
 ,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004008055,
 ,0.004008055,0.004008055,0.004008055,0.004008055,0.004008055,0.004008055, ,
,,,,,,,,
Trung binh,0.004091978,0.004091978,0.004091978,0.004091978,0.004091978,0.004091978,0.004139483,0.004091978
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004200935,0.004200935,0.004200935,0.004200935,0.004200935,0.004200935,0.004200935,
 ,0.004244089,0.004244089,0.004244089,0.004244089,0.004244089,0.004244089,0.004244089,
 ,0.004189968,0.004189968,0.004189968,0.004189968,0.004189968,0.004189968,0.004189968,
 ,0.004229069,0.004229069,0.004229069,0.004229069,0.004229069,0.004229069,0.004229069,
 ,0.004226923,0.004226923,0.004226923,0.004226923,0.004226923,0.004226923,0.004226923,
,,,,,,,,
Trung binh,0.004218197,0.004218197,0.004218197,0.004218197,0.004218197,0.004218197,0.004218197,0.004218197
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.00415802,0.00415802,0.00415802,0.00415802,0.00415802,0.00415802,0.00415802,
 ,0.004230976,0.004230976,0.004230976,0.004230976,0.004230976,0.004230976,0.004230976,
 ,0.004194975,0.004194975,0.004194975,0.004194975,0.004194975,0.004194975,0.004194975,
 ,0.004270077,0.004270077,0.004270077,0.004270077,0.004270077,0.004270077,0.004270077,
 ,0.004276991,0.004276991,0.004276991,0.004276991,0.004276991,0.004276991,0.004276991,
,,,,,,,,
Trung binh,0.004226208,0.004226208,0.004226208,0.004226208,0.004226208,0.004226208,0.004226208,0.004226208
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.00420022,0.00420022,0.00420022,0.00420022,0.00420022,0.00420022,0.00420022,
 ,0.004190922,0.004190922,0.004190922,0.004190922,0.004190922,0.004190922,0.004190922,
 ,0.004201889,0.004201889,0.004201889,0.004201889,0.004201889,0.004201889,0.004201889,
 ,0.004264116,0.004264116,0.004264116,0.004264116,0.004264116,0.004264116,0.004264116,
 ,0.004220009,0.004220009,0.004220009,0.004220009,0.004220009,0.004220009,0.004220009,
,,,,,,,,
Trung binh,0.004215431,0.004215431,0.004215431,0.004215431,0.004215431,0.004215431,0.004215431,0.004215431
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,
 ,0.004197836,0.004197836,0.004197836,0.004197836,0.004197836,0.004197836,0.004197836,
 ,0.004277945,0.004277945,0.004277945,0.004277945,0.004277945,0.004277945,0.004277945,
 ,0.004251003,0.004251003,0.004251003,0.004251003,0.004251003,0.004251003,0.004251003,
 ,0.004198074,0.004198074,0.004198074,0.004198074,0.004198074,0.004198074,0.004198074,
,,,,,,,,
Trung binh,0.004224396,0.004224396,0.004224396,0.004224396,0.004224396,0.004224396,0.004224396,0.004224396
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004277945,0.004277945,0.004277945,0.004277945,0.004277945,0.004277945,0.004277945,
 ,0.004189968,0.004189968,0.004189968,0.004189968,0.004189968,0.004189968,0.004189968,
 ,0.004209042,0.004209042,0.004209042,0.004209042,0.004209042,0.004209042,0.004209042,
 ,0.004273891,0.004273891,0.004273891,0.004273891,0.004273891,0.004273891,0.004273891,
 ,0.00427103,0.00427103,0.00427103,0.00427103,0.00427103,0.00427103,0.00427103,
,,,,,,,,
Trung binh,0.004244375,0.004244375,0.004244375,0.004244375,0.004244375,0.004244375,0.004244375,0.004244375
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.00419116,0.00419116,0.00419116,0.00419116,0.00419116,0.00419116,0.00419116,
 ,0.004195929,0.004195929,0.004195929,0.004195929,0.004195929,0.004195929,0.004195929,
 ,0.004169941,0.004169941,0.004169941,0.004169941,0.004169941,0.004169941,0.004169941,
 ,0.004172087,0.004172087,0.004172087,0.004172087,0.004172087,0.004172087,0.004172087,
 ,0.004196882,0.004196882,0.004196882,0.004196882,0.004196882,0.004196882,0.004196882,
,,,,,,,,
Trung binh,0.0041852,0.0041852,0.0041852,0.0041852,0.0041852,0.0041852,0.0041852,0.0041852
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004192829,0.004192829,0.004192829,0.004192829,0.004192829,0.004192829,0.004192829,
 ,0.004176855,0.004176855,0.004176855,0.004176855,0.004176855,0.004176855,0.004176855,
 ,0.004266024,0.004266024,0.004266024,0.004266024,0.004266024,0.004266024,0.004266024,
 ,0.004218102,0.004218102,0.004218102,0.004218102,0.004218102,0.004218102,0.004218102,
 ,0.004199982,0.004199982,0.004199982,0.004199982,0.004199982,0.004199982,0.004199982,
,,,,,,,,
Trung binh,0.004210758,0.004210758,0.004210758,0.004210758,0.004210758,0.004210758,0.004210758,0.004210758
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004199982,0.004199982,0.004199982,0.004199982,0.004199982,0.004199982,0.004199982,
 ,0.004266977,0.004266977,0.004266977,0.004266977,0.004266977,0.004266977,0.004266977,
 ,0.004207134,0.004207134,0.004207134,0.004207134,0.004207134,0.004207134,0.004207134,
 ,0.004239798,0.004239798,0.004239798,0.004239798,0.004239798,0.004239798,0.004239798,
 ,0.00427413,0.00427413,0.00427413,0.00427413,0.00427413,0.00427413,0.00427413,
,,,,,,,,
Trung binh,0.004237604,0.004237604,0.004237604,0.004237604,0.004237604,0.004237604,0.004237604,0.004237604
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.004195929,0.004195929,0.004195929,0.004195929,0.004195929,0.004195929,0.004195929,
 ,0.004194975,0.004194975,0.004194975,0.004194975,0.004194975,0.004194975,0.004194975,
 ,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,
 ,0.004232883,0.004232883,0.004232883,0.004232883,0.004232883,0.004232883,0.004232883,
 ,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,0.004197121,
,,,,,,,,
Trung binh,0.004203606,0.004203606,0.004203606,0.004203606,0.004203606,0.004203606,0.004203606,0.004203606
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.007215023,0.007215023,0.007215023,0.007215023,0.007215023,0.007215023,0.007215023,
 ,0.007148027,0.007148027,0.007148027,0.007148027,0.007148027,0.007148027,0.007148027,
 ,0.007135868,0.007135868,0.007135868,0.007135868,0.007135868,0.007135868,0.007135868,
 ,0.007069111,0.007069111,0.007069111,0.007069111,0.007069111,0.007069111,0.007069111,
 ,0.007175922,0.007175922,0.007175922,0.007175922,0.007175922,0.007175922,0.007175922,
,,,,,,,,
Trung binh,0.00714879,0.00714879,0.00714879,0.00714879,0.00714879,0.00714879,0.00714879,0.00714879
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.007141829,0.007141829,0.007141829,0.007141829,0.007141829,0.007141829,0.007141829,
 ,0.007148981,0.007148981,0.007148981,0.007148981,0.007148981,0.007148981,0.007148981,
 ,0.007169962,0.007169962,0.007169962,0.007169962,0.007169962,0.007169962,0.007169962,
 ,0.007222891,0.007222891,0.007222891,0.007222891,0.007222891,0.007222891,0.007222891,
 ,0.007153034,0.007153034,0.007153034,0.007153034,0.007153034,0.007153034,0.007153034,
,,,,,,,,
Trung binh,0.007167339,0.007167339,0.007167339,0.007167339,0.007167339,0.007167339,0.007167339,0.007167339
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.007151127,0.007151127,0.007151127,0.007151127,0.007151127,0.007151127,0.007151127,
 ,0.00717783,0.00717783,0.00717783,0.00717783,0.00717783,0.00717783,0.00717783,
 ,0.007225037,0.007225037,0.007225037,0.007225037,0.007225037,0.007225037,0.007225037,
 ,0.007248878,0.007248878,0.007248878,0.007248878,0.007248878,0.007248878,0.007248878,
 ,0.007251978,0.007251978,0.007251978,0.007251978,0.007251978,0.007251978,0.007251978,
,,,,,,,,
Trung binh,0.00721097,0.00721097,0.00721097,0.00721097,0.00721097,0.00721097,0.00721097,0.00721097
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.007196903,0.007196903,0.007196903,0.007196903,0.007196903,0.007196903,0.007196903,
 ,0.007171869,0.007171869,0.007171869,0.007171869,0.007171869,0.007171869,0.007171869,
 ,0.006058931,0.006058931,0.006058931,0.006058931,0.006058931,0.007218122,0.007218122,
 ,0.007218122,0.007218122,0.007218122,0.007218122,0.007218122,0.007144213,0.007144213,
 ,0.007144213,0.007144213,0.007144213,0.007144213,0.007144213, , ,
,,,,,,,,
Trung binh,0.006958008,0.006958008,0.006958008,0.006958008,0.006958008,0.007182777,0.007182777,0.007182777
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.007168055,0.007168055,0.007168055,0.007168055,0.007168055,0.007168055,0.007168055,
 ,0.007200003,0.007200003,0.007200003,0.007200003,0.007200003,0.007200003,0.007200003,
 ,0.007165909,0.007165909,0.007165909,0.007165909,0.007165909,0.007165909,0.007165909,
 ,0.007174969,0.007174969,0.007174969,0.007174969,0.007174969,0.007174969,0.007174969,
 ,0.007243156,0.007243156,0.007243156,0.007243156,0.007243156,0.007243156,0.007243156,
,,,,,,,,
Trung binh,0.007190418,0.007190418,0.007190418,0.007190418,0.007190418,0.007190418,0.007190418,0.007190418
,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,0.00737381,0.00737381,0.00737381,0.00737381,0.00737381,0.00737381,0.00737381,
 ,0.007270813,0.007270813,0.007270813,0.007270813,0.007270813,0.007270813,0.007270813,
 ,0.007301092,0.007301092,0.007301092,0.007301092,0.007301092,0.007301092,0.007301092,
 ,0.007296085,0.007296085,0.007296085,0.007296085,0.007296085,0.007296085,0.007296085,
 ,0.007318974,0.007318974,0.007318974,0.007318974,0.007318974,0.007318974,0.007318974,
,,,,,,,,
Trung binh,0.007312155,0.007312155,0.007312155,0.007312155,0.007312155,0.007312155,0.007312155,0.007312155
